product_id,summary,review,rating
4408,Does increase milk supply,"This really helped to increase my milk supply.  The taste wasn't so great for me, kind of a black licorice flavor but you get used to it. Also, it changes your body odor (might sound strange), but it makes it sweet smelling---kind of like maple syrup. One thing I did not like though was that it increased my appetite.  I mean DRASTICALLY increased my appetite.  I believe fenugreek was the culprit for the appetite increase, and I am positive it was for the body odor change.  Anyway, I used this tea for about 8 months, worked pretty well for its main purpose of milk production.",3.0
4209,One bad packet ruins the product!,"I should have stayed with Idahoan brand. Poor Betty is on her last legs, rolling downhill into oblivion!I've used several brands of potato flakes and found them very good. But not Betty's brand. The finished product tastes stale. Bland, unpleasant, not worth continuing eating---but the worst part is STALE.  I am totally ashamed of Amazon for offrering these packets. My advice to any customer looking for good mashed potato flakes: Move on to Idahoan or another brand and leave poor Betty by the wayside.Where these packets should have been left. Alone. Ignored. Skipped over. By the way, I didn't like them!",1.0
8623,CAULIFLOWER PASTA!?,"As the pasta cooked, I read the box to see what makes this ""smmmile, it'sveggie pasta & cheese.""  Cauliflower pasta? I'd never heard of such a thing. What a good idea!  (The dinner, on the whole, has two grams fewer of carbohydrates, at 47g carbohydrate, 7g sugar. I was hoping that this would be a good alternative for a diabetic friend, but it won't be.)My only deviation from the recipe on the box was using 1% milk.  I didn't doctor it with extra ingredients or by adding vegetables, because I wanted to taste what it tasted like on its own.It tasted like Kraft Macaroni and Cheese, the stuff that my mom occasionally fed us when we were kids.  The pasta was soft but not mushy. The cheese concoction tastes the same as the standard.Not as good as my friend Meem's homemade - it's not even the same category - but DEFINITELY better than adequate as a comfort food from one's childhood.The other member of my household agreed on all points, including, since ""sneaking"" vegetables in our household was never an issue, that this would taste even yummier with fresh broccoli or cauliflower in it.More Kraft Macaroni and Cheese, please?",4.0
9439,Tasty and inexpensive,"I really like this cereal. The flavor is slightly nutty and it doesn't get soggy quickly in almond milk. It reminds me of Honey Smacks without any sugar. My favorite way to eat it is with some chopped raw almonds, flax seeds and a touch of agave nectar.",5.0
7110,I'm Confused,"The label on the bowl says 35 grams is in the bowl and that it is 110 calories, but when I weighed it myself on my food scale it weighed almost twice that! I'm confused, does the whole bowl really contain 110 calories? I really want to know can someone help?",2.0
1373,Flat,"Doesn't taste like ginger.  Thought it would save me having to grate ginger - but is disappointingly flat in flavor.  In fact, it has a kind off flavor.  Wouldn't buy it again.",2.0
5944,Return of Zico tetra pak,"I have been an avid coconut water drinker for the past year and a half and I have tried almost all the brands available:  ONE, VitaCoco, Amy and Bryan, Nature Factor, original Zico, and re-release Zico Tetra Pak, and Naked coconut water.I would like to say the original Zico was the best tasting of all of them however they changed to the plastic bottles earlier this year which received a large number of negative reviews from people who loved the original Zico thus I avoided but now have brought back the Tetra pak.This version they brought back unfortunately does not taste like the original Zico.  Some of you might think that since it's been sometime, perhaps you don't remember what the original taste like.  Well, I would say that I have purchase 12 cartons of their original Tetra pak and drink 1 or 2 a day so I definitely remember what the original taste like.  The flavor is a bit more tart and now tastes closer to VitaCoco which is the most tart of all the brands something that I just do not like.I would purchase in the following order:1.  ONE - Amazon still is out of stock and hoping they come back in stock, this is best tasting one since the original Zico is no longer made.2.  Naked Juice - I like the subtle taste and though does not have quite the coconut flavor as ONE, it doesn't taste tart which is what I don't like.3.  Zico - It just tastes more tart4.  VitaCoco - Not a fan of tart coconut water5  Amy and Bryan and Nature Factor taste way too sweet for me.Zico had the best tasting coconut and that was a consensus if you look at earlier reviews.  I would have continued to purchase their product indefinitely even though they tend to cost a bit more than the other brands but they destroyed any good will they had by stopping production of the original Zico tetra pak and  thinking consumers like us would settle for that concentrate stuff, shame on them.",3.0
5669,Tastes fine,This has a mild taste and caffeine that is agreeable and light. It doesn't really seem to curb my appetite or burn fat.,3.0
4562,Horrible stuff,"This is the polar opposite of Sleepytime tea. I had one cup last night, and I laid in bed and didn't fall asleep till well after midnight, and then kept waking up every few minutes after that. Worst sleep I have gotten in my entire life! I'm going back to Sleepytime tea. At least that stuff works.",1.0
1446,Just plain old Decaf,"I tried these with my JV/Melita Pod unit and they produced bland, unexceptional coffee.  Considering they cost the equivalent of about $20 a pound, you might expect more, but it is just ordinary java.",1.0
8043,Zero stars,"Looking at the ingredients, this has zero pumpkin in it. That is why it's called 'pumpkin style'. It's basically just sugar and preservatives. Addendum:  Its now 2008 and I noticed that the ingredient list that used to be available is no longer available...hmm...hiding something???",1.0
2013,Misleading...,"UPDATE INFO AS OF 1/29/2014List Price: $20.94Price: $4.91 ($0.02 / oz)You Save: $16.03 (77%)$0.02 an oz for 16oz in a pound will be only $0.32 a bag not $4.91 as claimed by the seller. Flax seeds sells never sells for $20.94 a bag as claimed by the seller. It seems that the seller keeps changing the sale numbers in order to sell a product. Arrowhead is an excellent brand with many great organic products where others fail to produce in organic form but this approach is just misleading and not necessary at all.*****************************************************************************************************************************ORIGINAL REVIEW 10/11/2013Seller claims;List Price: $40.61Price: $8.24 ($0.04/oz) & FREE Shipping on orders over $25You Save: $32.37 (80%)That is misleading. No flax sells for $40 a pound. At $8.24 a pound it is 824/16=51.5 infact something like more than $0.51 cents an oz not $0.04 an oz. Arrowhead is a good brand but the seller is misrepresenting the facts.*****************************************************************************************************************************MISLEADING LABELING: sprinkle a tablespoon of ground seeds... 14oz not 16 oz since it is golden not brown.It is shame that Arrowhead with so many fine organic products will misguide consumers just to sell a product. In the beginning there was only one color flax which was brown but now there is golden as well. Usually in organic form except in supplement form, the farmer co-up flax or any type of seeds are always more expensive due to their practices which is not sold on Amazon at all. Brown and golden have the same nutritional value so I never consume one, I mix brown and golden regardless. In some cases Golden is more expensive than brown. If not specified on the labeling the type of flax, then it means brown flax not golden flax.OILS: I started consuming flax oil years ago per my physician's advise not knowing that majority forms of flaxseeds are rancid and absolutely worthless due to oil in seeds. As whole, human body cannot digest any seed that size with that consistency regardless if it is flax, sesame, amaranth, chia, millet, etc. unless cooked or in ground form since human body cannot digest in its natural form. As SUPPLEMENT, TABLET FORM, OIL, POWDER, GROUND IN BAGS are all worthless and hardly offer any nutrients unless; seeds are fresh, not old which means rancid, not in oil form, not in supplement form, not hulled, ground and consumed within few days, kept in dark cold temperatures, away from light-sun-moisture since the oil in seeds and nuts go rancid regardless. Rancid is a process of Mother Nature and has nothing to do with organic, conventional, GMO or the type of seed. Advising consumers to purchase different brands of flax in oil form or powder or tablet form are all marketing tools as well. It is not important even if the oil or the tablet or the powder in bags are even frozen at the time of production till you consume since any seed, and I mean any type of seed regardless of the type or brand will go rancid once ground and cracked open since the shell, the protection is removed and air will get to the oil of the seed much quicker than when the seed is in a complete un-hulled form. The best example of rancidity is brown rice. Place some in freezer and you will notice in few months it will not even cook since the oils have gone rancid even if you keep the rice in a sealed container, wrapped in the most elaborate sealing containers in the world regardless. Chia is the only seed that claims it does not need to be ground but that is a marketing tool just like the price of chia is since it comes from outside US and individuals without any knowledge about nutrition always associate those as superior for exotic reasons and pay a hefty price for a food item with less nutrients. I ground in my coffee grinder sesame, flax, chia, amaranth, hemp then add cocoa, isolate protein, soy milk and consume it before my workouts on daily basis for its vitamins, minerals, protein and many nutrients, without much spike in my glucose. Un-hulled seeds are full of nutrients. I never consume hulled seeds which are empty calories, absolutely worthless since the nutrients have been removed. After many years of consuming seeds, I chose to ground all seeds myself and seal immediately, kept in freezer and consumed within few days which I am very happy with the results since after all looking fit and well is just result of training hard and living a healthy lifestyle which surrounds any professional athlete or a happy individual involved in many sport activities regardless.OMEGA 3: You will never see ALA on any fish you purchase. Infact you will never see ALA on any fish oil supplement either, you will only see EPA and DHA. ALA is not the same as EPA or DHA and it is the same for any brand of flax seed regardless if such flax seed oil is in solid oil form in a bottle or a capsule form. Greens, nuts, seeds, fruits and vegetables do not offer any omega-3 since omega-3 EPA/DHA is an animal source. Flaxseeds offer more ALA than chia, 22.8gr vs. 17.8gr. There are two major types of omega-3 fatty acids in our diets: One type is alpha-linolenic acid (ALA), which is found in plants the other type, eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), is found in fatty fish. The body partially converts ALA to EPA and DHA. There is no proof what percent of ALA gets converted by human body to EPA or DHA. You can consume all ALAs that you want and depending to your genes it may never turn any into omega-3. Blood test is the only way to see the affects. I get omega 3 from sardines although flaxseeds are important part of my diet since flax offers so many different nutrients.FIBER: Fiber is essential for body since fiber absorbs the unwanted liquid in the gut and body has to defecate that blown up fiber which in return lowers cholesterol, blood pressure, etc. and brings comfort and efficiency to human body unlike fat which stays in human body unless needed for energy. Flax is high in fiber.MINERALS: Flax is the king of nutrients when it comes to minerals so important to me as a whole delicious seed; highest ALA, highest magnesium, highest potassium, calcium with the healthiest fat.Accordingly for 100gr servings size of;SESAME__FLAX__CHIA__AMARANTH__QUINOA__HEMP__PISTACHIO__ALMOND__CASHEWCALORIES565__534__490__371__368__567__557__575__553SAT FAT34__18__16__7__4__17__27__19__39CALCIUM99__26__63__16__5__0__11__26__4MAGNESIUM89__98__0__62__49__167__30__67__73POTASSIUM14__23__5__15__16__167__29__20__19ZINC48__29__23__19__21__83__15__21__39FIBER47__109__151__8__11__4 __41__49__13PHYTOSTEROLS714__0__0__0__0__N/A__214__0__0FRESHNESS: Fresh means nutritious and delicious. I consume lots of seeds, beans, grains, vegetables, etc. and freshness is a priority regardless of the brand so I always purchase my food ingredients in small quantities from reputable sellers with high turnover. When fresh, food is nutritious and that goes for any food in any form, from frozen to canned. Fresh food is nutritious as well as delicious since nutrients give food its delicious taste. When old or rancid, nutrients are gone and any food item becomes an empty calories with no taste and absolutely worthless regardless of the brand or price, organic or conventional.FAT: The most important hormone, and the one that's crucial for weight loss, is insulin. Insulin is the hormone that controls fat storage. A high-carb diet increases the amount of glucose in the bloodstream, which in turn means you produce more insulin. The more insulin the body produces, the more fat gets stored. A low-carb diet means less insulin, making it easier to lose weight because less fat is then stored. For intake of a massive 5,000 calories every day for three weeks with calories from a low-fat, high-carb diet; and for another three weeks with calories from more fat no carbs with exactly the same amount of calories, with moderate exercise regimen each time; low-fat diet stacked on 16&#8201;lb with 3.7"" (9.5&#8201;cm) around the middle where the high fat diet offered a loss of 2.5 lb and loss of 1""(2.5&#8201;cm) from waistline. If calorie is calorie, then in my case and my experience shows that I would prefer to get my calories from a healthy fat from sesame seed and almond than the calories from the carbs in chia. Almonds have the highest fat calories from all the seeds and nuts, a priority to me in type of calories since I am kind of vegan who consumes fish but hardly any meat, chicken, pork or dairy.Accordingly for 28gr/1oz servings size of;Amaranth__quinoa__flax__peanut__almonds__chia__sesame__sunflower__cashew__pistachioTOTAL CALORIES28.6__33.6__ 150__166__161__137__160__162__155__156CALORIES FROM CARBS21.2__23.6__33__28.9__24.6__50__26.8__31.2__34.4__31.8CALORIES FROM FAT3.7__4.8__98.8__121__116__72.1__116__112__103__104CALORIES FROM PROTEIN3.7__4.9__17.8__16.8__20.6__15.2__17.2__19.1__17.7__20For almost the same total calories sesame offers half of chia's ""CARB CALORIES"" gain but 50% more ""FAT CALORIES"" with high amount of nutrients for weight loss. Sesame, flax and hemp are my superfood but almonds are the superfood when it comes to vitamin E. Americans consume enough peanut butter each year to coat the floor of the Grand Canyon, priced for 1/3 but hardly with any nutrients except B-complex. No wonder Burma is the highest producer of sesame in the world. But none of those kings offer ALA and not only flax's high ALA is needed but it balances the omega-6 which is so worthless and abandoned in all foods that not healthy at all. Flax only in powder form, ground freshly.",1.0
29,OK Product,"I like other styles of Mae Ploy curry paste, but the green just doesn't work for me. Overwhelming garlic, no heat, and very bland. I would not purchase this product again.",3.0
2354,Good for you,"This cereal taste is good has all the rightingredients, can be a snack.They finally have a winner for morning,good job",5.0
4176,Sticky gummy bland mess,"I am a big fan of Knorr broth and sauce mixes and use them frequently not only because of their great flavors, but also their lower sodium content.  So I decided to give the Mushroom Rice Sides and the Asian Chicken Fried Rice Sides a try.  What a huge disappointment!  Not only are they sticky and gummy texture-wise, they are virtually tasteless.  Could not detect any mushroom flavor at all.  Tried both the stove top and microwave directions, and got the same poor results.  Then tried adding broth mix, various herbs, onions, etc., all to no avail.  The remaining nine packages of each of these are packed up for delivery to the local Food Bank.",1.0
7633,Spicy!! Spicy!! Spicy!!,"I bought this soup for my roommate because she is addicted to spicy foods.  She loves it!!!  I tried it, and although the flavor was terrific, it was just too spicy for me!!",5.0
7112,INGREDIENTS,"This is an attractive item; however, I am disappointed that the Start Smart has partially hydrogenated oil in it, and therefore will have to forego this nice convience product.Also, it would be nice to see the nutritional breakdown, i.e., calories, fiber, carbohydrates, fat, et cetera.",3.0
6979,Better than I expected,"The thinkThin Chocolate Fudge flavored bar has a decent texture and an okay flavor.I found the texture to be better than most of this type of bar on the market, unlike most it is not too dry or crunchy; plus you do not need a large glass of liquid such as water or milk to get it down. visually the bar could be a little bit more appealingbut that is possibly because it went through the mail. Would I buy these as a meal replacement? Maybe I would have to try a couple more of the flavors to really decide.",3.0
8589,pretty good,"I liked these.  They are different, but I can't say bad.  We have had wheat and regular.  I was fine with them.",4.0
7664,Spicy,"This soup is ok.  It's spicy, which I like, but I don't care for the noodles very much, too gummy and not flavorful.  It works for a quick meal.",3.0
